frame_id,timestamp_ms,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,acc_x,acc_y,acc_z,acc_mag
0,0.0,532.4887,79.06646,0.95533395,536.67303,74.47659,0.9611509,530.8768,76.003235,0.6493869,549.5176,70.15404,0.95838326,534.8978,73.37096,0.21321708,570.43896,87.72597,0.9989052,540.1594,92.130646,0.9762782,583.7772,121.77429,0.9972761,543.26263,122.899414,0.85206777,559.6251,147.7735,0.99184895,534.3646,138.91638,0.8345454,570.47845,149.83914,0.99873644,551.7915,148.108,0.99435186,538.61237,179.09131,0.9968149,522.23145,172.45062,0.985817,559.32117,219.93927,0.9857094,551.4011,205.92708,0.9651187,1.00425747,-0.18841005,0.71974114,0.67454238
1,33.333333333333336,530.9616,79.06505,0.95395285,535.0622,74.5092,0.959535,529.4077,76.00514,0.64230764,547.9566,70.26984,0.9574928,533.6196,73.41729,0.21109651,569.6425,87.88553,0.99890256,539.1555,91.92211,0.97663945,584.0407,121.68477,0.99727976,542.38403,121.56784,0.85767037,559.7292,147.68167,0.99191636,534.28375,137.15582,0.8407257,570.63184,149.57726,0.9987931,551.8259,147.73709,0.99468863,539.5717,179.44022,0.99694294,523.0915,172.74922,0.9866752,559.53564,219.97418,0.98614824,551.5505,206.05984,0.96670014,0.99246503,-0.0832738,0.70942403,0.68903546
2,66.66666666666667,529.9701,80.25137,0.95206183,533.80676,75.62504,0.9569731,528.2822,77.26731,0.6378286,546.4849,70.58407,0.95477605,532.5388,74.17183,0.21212125,569.11633,87.41522,0.99885035,538.2511,91.727615,0.97669095,584.21735,121.42879,0.99717075,541.75183,121.36896,0.8627868,559.97675,147.4895,0.9916856,534.3768,136.5862,0.84566116,570.56793,149.19821,0.9988055,551.5534,147.49994,0.994892,540.4587,179.83435,0.99698406,523.8264,173.28722,0.987288,559.7203,219.87985,0.98641104,551.2034,206.08627,0.96802706,1.04492852,-0.04642699,0.7811525,0.69247449
3,100.0,529.0307,79.7693,0.95337677,532.93054,75.056465,0.9589433,527.3214,76.78651,0.63946736,545.76575,70.45236,0.95687115,531.505,74.26642,0.20704961,568.6537,87.81749,0.9989078,537.3667,92.77873,0.976158,584.43945,121.40329,0.9973086,540.5317,122.61685,0.85751563,560.07227,147.31932,0.9920365,533.4153,137.87595,0.8419935,570.58234,149.37906,0.99881375,551.32794,148.01137,0.9947462,540.6171,179.4577,0.9969869,523.93945,173.62129,0.9868514,559.94476,219.62686,0.98624414,551.38696,206.65263,0.96687627,0.97387664,-0.17760165,0.64555622,0.70721322
4,133.33333333333334,528.0652,79.779724,0.94764996,531.88055,75.09013,0.9539215,526.423,76.76605,0.60822177,544.5761,70.67839,0.95406926,530.53784,74.471016,0.19224758,568.1238,87.902405,0.9988741,535.85736,93.66837,0.97432953,584.9287,120.70419,0.99735767,538.81604,124.69153,0.8527657,560.87836,146.7026,0.9921462,531.8206,141.44873,0.8382576,570.6281,149.24698,0.9988299,550.8174,148.23175,0.994701,541.9334,179.95746,0.99698764,524.55695,174.31364,0.986586,560.6059,219.62494,0.9860553,551.6507,206.80579,0.96597666,1.02186368,-0.00884324,0.69615918,0.74799036
5,166.66666666666666,527.0904,80.145706,0.94351393,530.92053,75.52089,0.9503785,525.55145,77.08017,0.58889395,543.84644,71.010345,0.9517871,529.764,74.577324,0.18339221,567.58514,87.98276,0.99882597,534.70856,93.73059,0.9727686,584.8123,120.83273,0.99730814,537.8225,125.62424,0.8484452,561.53156,147.00616,0.991981,531.1497,144.06818,0.8340355,570.0058,148.84242,0.9988146,549.83563,147.89664,0.9945905,543.126,180.84518,0.9968918,525.21564,175.29019,0.9861407,560.96686,218.9884,0.98551625,551.7334,206.62071,0.96463567,0.99051177,-0.02775793,0.65685591,0.74086665
6,200.0,526.59094,81.08181,0.9481174,530.462,76.453964,0.95438826,524.80725,77.93908,0.61713976,543.3639,71.49556,0.9529703,528.5013,75.06023,0.19478099,567.22876,87.962494,0.998855,533.3482,94.23807,0.97346944,584.8991,120.73479,0.99724966,536.5637,127.903534,0.8470249,562.7454,146.92075,0.9916898,529.688,148.93848,0.83006936,569.91565,148.473,0.9987903,549.1537,147.7399,0.99448484,544.4439,181.95782,0.99679476,525.68243,176.23975,0.98574907,561.2534,219.065,0.9851483,551.4042,206.50577,0.96380115,1.01078373,-0.12847256,0.64285412,0.76936152
7,233.33333333333334,525.9225,81.64736,0.95315903,529.8575,76.94008,0.9594583,523.94904,78.50404,0.64371586,542.82916,71.81767,0.9556681,527.291,75.60719,0.20147492,566.7663,88.15358,0.99888474,532.5613,94.81772,0.97337025,584.809,120.99437,0.99724054,535.8913,128.47142,0.84212977,562.76794,147.7637,0.99167037,529.3645,149.52245,0.8262338,570.2954,148.20218,0.9987098,549.273,147.73352,0.99404126,545.0727,181.78088,0.9965436,525.87103,176.69333,0.9844226,562.032,218.88124,0.98391956,551.44446,207.07483,0.96046555,0.96255597,-0.02898616,0.6033052,0.74946424
8,266.6666666666667,524.9676,83.06088,0.9529435,528.914,78.19595,0.9586173,522.78925,79.948044,0.65111214,541.9984,72.532,0.9530235,525.6827,76.843056,0.20208104,566.7156,88.38555,0.998781,530.6771,95.946724,0.9725432,584.9249,121.595505,0.99697375,534.3686,130.36043,0.8411977,562.2147,148.78928,0.9911316,529.2627,150.88042,0.8259801,570.654,148.3802,0.99856573,548.44196,148.32567,0.99358,545.79346,181.28395,0.9961932,525.5742,176.68927,0.98335934,562.7247,218.15778,0.9827145,551.9424,206.88086,0.9583118,1.0511303,0.10169721,0.70868709,0.76960716
9,300.0,524.3554,83.70929,0.9510761,528.3903,78.807365,0.95658135,522.05786,80.5961,0.65223825,541.51306,72.81773,0.95016503,524.6536,77.16382,0.20574203,566.36896,88.455444,0.99864894,529.2549,96.15437,0.9712488,584.9861,121.70201,0.99658895,533.54974,131.37502,0.834792,562.75854,149.2684,0.99005777,528.35956,155.47276,0.8164071,570.20325,148.88878,0.99835664,547.43463,148.9754,0.9928536,545.3594,182.03442,0.9955432,525.02014,177.58456,0.9810656,563.2419,216.50507,0.98034805,553.11694,205.71701,0.95346653,1.05728862,0.03439036,0.71409129,0.77894169
