frame_id,timestamp_ms,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,acc_x,acc_y,acc_z,acc_mag
0,0.0,548.9445,115.39488,0.85709596,550.3776,111.755516,0.9062945,548.48303,112.336914,0.22479244,559.4005,109.72823,0.9226447,553.4846,110.92705,0.027796444,577.90454,123.73653,0.9934416,563.261,123.06294,0.9526595,589.0029,155.38527,0.99486804,569.25934,152.39778,0.75332195,565.0367,167.06284,0.990754,556.21454,162.02486,0.81621903,586.1558,170.52017,0.9923619,575.7587,167.99515,0.97839695,539.79456,177.67346,0.98539656,534.26117,175.12704,0.93644285,553.23486,223.72192,0.95147264,550.1349,219.72665,0.86273056,1.04548171,0.07000895,0.85632,-0.59569019
1,33.333333333333336,548.9525,116.28644,0.86621207,550.2989,112.69212,0.9123034,548.3761,113.30472,0.24161981,558.9847,110.586006,0.9257871,553.1981,111.86468,0.03015197,577.6076,124.28975,0.9937821,562.9299,123.82277,0.95490193,589.4114,155.48256,0.994858,569.09204,152.8516,0.7525175,564.9576,167.32854,0.99059695,556.11273,162.45192,0.81339216,586.2666,170.48552,0.9923523,575.8024,168.10226,0.9783155,540.14453,177.52962,0.98541415,534.2267,175.1235,0.936447,553.48987,223.9426,0.95169556,549.9112,220.15945,0.8631862,1.02697519,0.09432785,0.84895064,-0.57014307
2,66.66666666666667,547.4116,116.87435,0.869263,548.7831,113.20792,0.9147427,546.66376,113.901505,0.24653862,557.5242,110.82754,0.9262447,551.1819,112.319275,0.029884994,576.5721,124.2146,0.99376386,560.914,124.15613,0.95382285,588.9767,155.30237,0.99479276,567.5178,153.35504,0.7454119,564.74603,167.3064,0.99047625,555.35364,162.72664,0.8086952,585.95496,170.38718,0.9922375,574.9215,168.25197,0.9777956,539.6224,177.18985,0.9854311,533.6243,175.00081,0.93601245,553.1485,223.68286,0.9518193,550.11816,220.1312,0.8626515,1.06544447,0.09359091,0.88284971,-0.58905776
3,100.0,545.6,117.581604,0.8853515,547.04504,113.854515,0.92735535,544.7866,114.59828,0.2680043,556.2586,110.88318,0.93330026,549.1443,112.506134,0.029280404,575.87555,123.48776,0.9943558,558.8236,123.61163,0.95717686,588.2494,154.10907,0.99537164,565.25586,152.3864,0.756725,564.8438,167.3057,0.99162066,554.52716,162.74467,0.82099736,586.0858,169.65454,0.99311936,574.238,167.64674,0.9800821,540.02985,177.5431,0.9870805,533.6208,175.411,0.9419435,553.5145,223.92172,0.95621234,550.75165,220.33331,0.87252355,1.08434622,0.088678,0.88825391,-0.61558747
4,133.33333333333334,544.22314,117.95992,0.88737154,545.5026,114.20792,0.92881566,543.4236,114.92117,0.25762132,554.5054,110.59264,0.9358882,548.2385,112.094604,0.027556052,573.5733,122.27942,0.99462825,559.1634,122.14374,0.9575714,586.63275,152.18375,0.99583423,566.1176,150.17902,0.75883484,564.30774,166.95662,0.99251634,554.635,162.04955,0.82717806,585.16486,168.91374,0.99375993,575.03845,166.82832,0.98154175,538.6596,177.96576,0.9883454,533.74677,175.7301,0.94592506,554.1305,223.67235,0.9591453,551.4356,219.91034,0.8781186,1.08206688,0.09850382,0.90471215,-0.58537308
5,166.66666666666666,543.73456,119.07297,0.88823605,545.08,115.33519,0.92920333,542.8532,116.06388,0.26788512,554.0208,111.58564,0.9342555,547.0905,113.137695,0.028377062,572.9676,122.90802,0.9945293,557.1105,123.00723,0.9569401,585.4138,152.76888,0.995643,563.97546,151.14728,0.7535247,563.751,166.82474,0.9921761,553.8865,161.9882,0.8222327,584.31934,168.76053,0.9937272,573.36896,166.88873,0.9814679,538.5709,177.58835,0.9887855,533.2285,175.55882,0.9480862,553.88666,223.66498,0.9615772,551.54974,220.13844,0.8848499,1.06253548,0.08769542,0.89341246,-0.56842355
6,200.0,540.0767,119.91246,0.86004287,542.2955,115.49213,0.8619475,539.53125,116.89549,0.41303262,552.2921,111.5845,0.8934761,546.2475,113.716934,0.2010091,571.65063,124.487976,0.99442226,554.5916,125.56409,0.9603647,584.7574,154.61993,0.98798954,558.4357,151.95755,0.8316048,562.25586,167.15802,0.97417915,549.2366,166.07172,0.81193435,579.2833,170.67807,0.9940784,568.288,167.98964,0.9841113,541.7463,183.42712,0.9893582,529.8409,178.17343,0.9715911,558.49866,221.46469,0.96650434,551.559,211.14339,0.94283885,1.03969603,0.09309962,0.85853081,-0.5789863
7,233.33333333333334,537.91895,120.35437,0.86223763,540.1419,116.11301,0.8711033,537.44037,117.32114,0.41086927,550.2624,112.48475,0.9007441,544.3729,114.106766,0.19471839,568.737,125.09717,0.9943697,554.0841,125.29111,0.95631045,580.9015,154.4417,0.98791564,558.1431,150.3791,0.81220394,560.9893,168.00282,0.97361416,549.7608,165.55653,0.79494727,579.3681,169.03572,0.99359,569.751,166.23022,0.9820717,541.3413,183.37982,0.9886961,530.458,178.00156,0.9683723,558.87317,222.05103,0.96457034,551.72504,211.3163,0.937856,1.09110722,0.09899511,0.92166169,-0.57554726
8,266.6666666666667,536.4153,121.115265,0.8465899,538.3895,116.86369,0.86145914,535.8596,118.14427,0.3761257,547.8455,112.94528,0.9008801,542.8676,114.667076,0.18366389,566.6148,124.93361,0.99430805,553.2747,125.35153,0.95140105,580.20593,154.31023,0.9882813,558.35406,150.4887,0.7944791,559.1953,168.58502,0.9736891,548.694,166.32336,0.7788133,578.7578,168.60919,0.9935743,570.1006,166.00552,0.98114556,540.0431,183.06917,0.9887244,529.973,178.28006,0.96683717,558.9737,221.60434,0.96482354,552.2488,211.4318,0.93624854,1.08001897,0.10808399,0.93222444,-0.53452448
9,300.0,534.8914,121.66716,0.8572641,536.8489,117.2917,0.8740363,533.9597,118.82024,0.39398378,546.2406,113.08746,0.90857416,540.4164,115.48411,0.18673465,565.47034,124.79457,0.9949143,551.447,126.040955,0.9516559,580.56134,153.92015,0.9893337,557.5515,150.91861,0.7885588,558.4972,168.33554,0.9755214,548.3992,166.85722,0.7744647,578.0758,168.25174,0.99412197,568.9856,166.07379,0.98184425,540.04913,183.28053,0.98967826,529.8743,179.40134,0.9681051,559.75165,221.70679,0.9674261,552.8078,212.50792,0.93889624,1.04093469,0.10317108,0.89537763,-0.52076833
